"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"164","Canis familiaris","2022-05","05","2022",1,2,0,801,0.00124843945068664,0.0387016229712859,0.00249687890137328,0.0774032459425718,0,0
"165","Canis familiaris","2022-06","06","2022",1,2,0,731,0.00136798905608755,0.0410396716826265,0.0027359781121751,0.0820793433652531,0,0
"166","Canis familiaris","2022-07","07","2022",9,19,0,762,0.0118110236220472,0.366141732283465,0.0249343832020997,0.772965879265092,0,0
"167","Canis familiaris","2022-08","08","2022",7,15,0,859,0.00814901047729918,0.252619324796275,0.0174621653084983,0.541327124563446,0,0
"168","Canis familiaris","2022-09","09","2022",4,6,0,793,0.00504413619167718,0.151324085750315,0.00756620428751576,0.226986128625473,0,0
"169","Canis familiaris","2022-10","10","2022",14,14,0,598,0.0234113712374582,0.725752508361204,0.0234113712374582,0.725752508361204,0,0
"170","Canis familiaris","2022-11","11","2022",1,1,0,529,0.00189035916824197,0.056710775047259,0.00189035916824197,0.056710775047259,0,0
"171","Canis lupus","2020-01","01","2020",3,4,0,615,0.0048780487804878,0.151219512195122,0.00650406504065041,0.201626016260163,0,0
"172","Canis lupus","2020-02","02","2020",6,6,0,678,0.00884955752212389,0.256637168141593,0.00884955752212389,0.256637168141593,0,0
"173","Canis lupus","2020-03","03","2020",6,9,0,758.5,0.00791034937376401,0.245220830586684,0.011865524060646,0.367831245880026,0,0
"174","Canis lupus","2020-04","04","2020",11,11,0,784,0.014030612244898,0.420918367346939,0.014030612244898,0.420918367346939,0,0
"175","Canis lupus","2020-05","05","2020",5,5,0,779,0.00641848523748395,0.198973042362003,0.00641848523748395,0.198973042362003,0,0
"176","Canis lupus","2020-06","06","2020",5,5,0,700,0.00714285714285714,0.214285714285714,0.00714285714285714,0.214285714285714,0,0
"177","Canis lupus","2020-07","07","2020",3,3,0,733,0.00409276944065484,0.1268758526603,0.00409276944065484,0.1268758526603,0,0
"178","Canis lupus","2020-08","08","2020",5,7,0,808,0.00618811881188119,0.191831683168317,0.00866336633663366,0.268564356435644,0,0
